Data as of,Start Date,End Date,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
1/21/2021,1/1/2020,1/16/2021,Georgia,Male,50-64 years,982,"11,360",942,479,21,"1,466",
1/21/2021,1/1/2020,1/16/2021,Georgia,Male,55-64 years,777,"9,002",757,374,16,"1,176",
1/21/2021,1/1/2020,1/16/2021,Georgia,Male,65-74 years,"1,371","12,369","1,330",724,25,"2,001",
1/21/2021,1/1/2020,1/16/2021,Georgia,Male,75-84 years,"1,464","12,443","1,481",806,17,"2,155",
1/21/2021,1/1/2020,1/16/2021,Georgia,Male,85 years and over,900,"8,890",890,433,13,"1,370",
1/21/2021,1/1/2020,1/16/2021,Georgia,Female,All Ages,"4,419","48,460","4,116","2,072",101,"6,563",
1/21/2021,1/1/2020,1/16/2021,Georgia,Female,Under 1 year,0,291,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Georgia,Female,0-17 years,,501,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Georgia,Female,1-4 years,0,68,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Georgia,Female,5-14 years,,91,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Georgia,Female,15-24 years,12,299,12,,,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Georgia,Female,18-29 years,25,527,22,12,,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Georgia,Female,25-34 years,43,671,36,18,,63,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Georgia,Female,30-49 years,202,"2,776",201,84,13,332,
1/21/2021,1/1/2020,1/16/2021,Georgia,Female,35-44 years,83,"1,275",87,33,,143,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Georgia,Female,45-54 years,205,"2,700",222,104,10,333,
1/21/2021,1/1/2020,1/16/2021,Georgia,Female,50-64 years,670,"7,621",704,341,29,"1,062",
1/21/2021,1/1/2020,1/16/2021,Georgia,Female,55-64 years,554,"6,030",571,277,24,872,
1/21/2021,1/1/2020,1/16/2021,Georgia,Female,65-74 years,992,"9,546",923,478,25,"1,462",
1/21/2021,1/1/2020,1/16/2021,Georgia,Female,75-84 years,"1,206","12,173","1,121",597,21,"1,751",
1/21/2021,1/1/2020,1/16/2021,Georgia,Female,85 years and over,"1,322","15,316","1,141",560,10,"1,912",
1/21/2021,1/1/2020,1/16/2021,Georgia,Unknown,All Ages,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Georgia,Unknown,Under 1 year,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Georgia,Unknown,0-17 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Georgia,Unknown,1-4 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Georgia,Unknown,5-14 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Georgia,Unknown,15-24 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Georgia,Unknown,18-29 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Georgia,Unknown,25-34 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Georgia,Unknown,30-49 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Georgia,Unknown,35-44 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Georgia,Unknown,45-54 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Georgia,Unknown,50-64 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Georgia,Unknown,55-64 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Georgia,Unknown,65-74 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Georgia,Unknown,75-84 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Georgia,Unknown,85 years and over,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Hawaii,All Sexes,All Ages,352,"12,220",822,170,26,"1,030",
1/21/2021,1/1/2020,1/16/2021,Hawaii,Male,All Ages,224,"6,591",485,110,16,615,
1/21/2021,1/1/2020,1/16/2021,Hawaii,Male,Under 1 year,0,36,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Male,0-17 years,0,60,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Male,5-14 years,0,13,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Male,15-24 years,,68,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Male,18-29 years,,106,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Male,25-34 years,,128,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Male,30-49 years,10,486,17,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Male,35-44 years,,236,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Male,45-54 years,17,423,19,,0,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Male,50-64 years,50,"1,189",64,24,,92,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Male,55-64 years,36,934,51,19,,70,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Male,65-74 years,61,"1,498",104,33,,135,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Male,75-84 years,53,"1,495",126,27,,158,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Male,85 years and over,47,"1,757",165,22,,194,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Female,All Ages,128,"5,628",337,60,10,415,
1/21/2021,1/1/2020,1/16/2021,Hawaii,Female,Under 1 year,0,40,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Female,0-17 years,0,52,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Female,1-4 years,0,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Female,5-14 years,0,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Female,15-24 years,0,25,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Hawaii,Female,18-29 years,,50,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Female,25-34 years,,60,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Female,30-49 years,,219,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Female,35-44 years,,97,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Female,45-54 years,,221,10,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Female,50-64 years,20,646,45,10,,57,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Female,55-64 years,19,514,37,,,49,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Female,65-74 years,21,882,58,11,,72,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Female,75-84 years,26,"1,118",56,12,,71,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Female,85 years and over,54,"2,661",165,24,,198,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Unknown,All Ages,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Unknown,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Unknown,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Hawaii,Unknown,1-4 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Hawaii,Unknown,5-14 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Hawaii,Unknown,15-24 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Hawaii,Unknown,18-29 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Hawaii,Unknown,25-34 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Hawaii,Unknown,30-49 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Hawaii,Unknown,35-44 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Hawaii,Unknown,45-54 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Hawaii,Unknown,50-64 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Hawaii,Unknown,55-64 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Hawaii,Unknown,65-74 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Hawaii,Unknown,75-84 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Hawaii,Unknown,85 years and over,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Idaho,All Sexes,All Ages,"1,389","16,280","1,171",580,34,"2,011",
1/21/2021,1/1/2020,1/16/2021,Idaho,Male,All Ages,808,"8,685",684,367,20,"1,143",
1/21/2021,1/1/2020,1/16/2021,Idaho,Male,Under 1 year,0,53,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Idaho,Male,0-17 years,0,123,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Male,1-4 years,0,15,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Male,5-14 years,0,24,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Male,15-24 years,,144,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Male,18-29 years,,200,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Male,25-34 years,,182,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Male,30-49 years,22,599,11,,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Male,35-44 years,,298,,,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Male,45-54 years,24,468,21,,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Male,50-64 years,83,"1,380",92,36,,144,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Male,55-64 years,70,"1,118",75,30,,120,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Male,65-74 years,190,"1,898",162,94,,266,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Male,75-84 years,273,"2,362",236,123,,387,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Male,85 years and over,238,"2,123",179,106,,312,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Female,All Ages,581,"7,595",487,213,14,868,
1/21/2021,1/1/2020,1/16/2021,Idaho,Female,Under 1 year,0,40,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Idaho,Female,0-17 years,0,73,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Female,15-24 years,0,47,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Female,18-29 years,0,72,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Female,25-34 years,0,104,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Female,30-49 years,15,335,12,,0,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Female,35-44 years,,155,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Female,45-54 years,18,290,22,11,0,29,
1/21/2021,1/1/2020,1/16/2021,Idaho,Female,50-64 years,51,943,73,26,,100,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Female,55-64 years,42,772,59,20,,83,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Female,65-74 years,107,"1,352",103,48,,164,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Female,75-84 years,145,"1,954",118,54,,211,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Female,85 years and over,263,"2,866",177,79,,367,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Idaho,Unknown,All Ages,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Idaho,Unknown,Under 1 year,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Idaho,Unknown,0-17 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Idaho,Unknown,1-4 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Idaho,Unknown,5-14 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Idaho,Unknown,15-24 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Idaho,Unknown,18-29 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Idaho,Unknown,25-34 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Idaho,Unknown,30-49 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Idaho,Unknown,35-44 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Idaho,Unknown,45-54 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Idaho,Unknown,50-64 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Idaho,Unknown,55-64 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Idaho,Unknown,65-74 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Idaho,Unknown,75-84 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Idaho,Unknown,85 years and over,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Illinois,All Sexes,All Ages,"15,439","130,138","13,992","7,480",223,"22,169",
1/21/2021,1/1/2020,1/16/2021,Illinois,Male,All Ages,"8,343","67,037","7,651","4,305",96,"11,782",
1/21/2021,1/1/2020,1/16/2021,Illinois,Male,Under 1 year,,379,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Male,0-17 years,,699,,,,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Male,1-4 years,0,61,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Male,5-14 years,,106,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Male,15-24 years,14,"1,016",12,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Male,18-29 years,37,"1,815",37,13,,63,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Male,25-34 years,66,"1,911",55,21,,102,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Male,30-49 years,436,"5,306",305,180,,567,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Male,35-44 years,187,"2,501",138,75,,254,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Male,45-54 years,491,"4,504",379,226,,649,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Male,50-64 years,"1,384","12,974","1,253",720,23,"1,939",
1/21/2021,1/1/2020,1/16/2021,Illinois,Male,55-64 years,"1,099","10,316","1,012",587,20,"1,543",
1/21/2021,1/1/2020,1/16/2021,Illinois,Male,65-74 years,"2,004","14,619","1,834","1,079",17,"2,776",
1/21/2021,1/1/2020,1/16/2021,Illinois,Male,75-84 years,"2,305","15,904","2,217","1,262",24,"3,283",
1/21/2021,1/1/2020,1/16/2021,Illinois,Male,85 years and over,"2,175","15,720","1,996","1,049",23,"3,144",
1/21/2021,1/1/2020,1/16/2021,Illinois,Female,All Ages,"7,096","63,100","6,341","3,175",127,"10,387",
1/21/2021,1/1/2020,1/16/2021,Illinois,Female,Under 1 year,,282,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Female,0-17 years,,474,,0,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Female,1-4 years,0,56,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Female,5-14 years,0,85,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Female,15-24 years,,343,,,,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Female,18-29 years,18,583,20,,,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Female,25-34 years,36,668,34,17,,54,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Female,30-49 years,176,"2,572",184,81,,283,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Female,35-44 years,76,"1,218",84,36,,128,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Female,45-54 years,217,"2,507",220,106,,335,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Female,50-64 years,744,"7,848",784,388,23,"1,163",
1/21/2021,1/1/2020,1/16/2021,Illinois,Female,55-64 years,600,"6,318",643,316,19,946,
1/21/2021,1/1/2020,1/16/2021,Illinois,Female,65-74 years,"1,198","10,607","1,149",618,17,"1,745",
1/21/2021,1/1/2020,1/16/2021,Illinois,Female,75-84 years,"1,777","15,099","1,715",863,30,"2,658",
1/21/2021,1/1/2020,1/16/2021,Illinois,Female,85 years and over,"3,182","25,917","2,480","1,216",47,"4,493",
1/21/2021,1/1/2020,1/16/2021,Illinois,Unknown,All Ages,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Unknown,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Unknown,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Illinois,Unknown,1-4 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Illinois,Unknown,5-14 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Illinois,Unknown,15-24 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Illinois,Unknown,18-29 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Illinois,Unknown,25-34 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Illinois,Unknown,30-49 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Illinois,Unknown,35-44 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Illinois,Unknown,45-54 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Illinois,Unknown,50-64 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Illinois,Unknown,55-64 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Illinois,Unknown,65-74 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Illinois,Unknown,75-84 years,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Illinois,Unknown,85 years and over,0,0,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Indiana,All Sexes,All Ages,"8,522","75,703","8,173","3,920",176,"12,945",
1/21/2021,1/1/2020,1/16/2021,Indiana,Male,All Ages,"4,360","38,779","4,406","2,211",78,"6,629",
1/21/2021,1/1/2020,1/16/2021,Indiana,Male,Under 1 year,,232,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Indiana,Male,0-17 years,,431,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Indiana,Male,1-4 years,,42,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Indiana,Male,5-14 years,0,78,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Indiana,Male,15-24 years,,613,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Indiana,Male,18-29 years,,"1,046",11,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Indiana,Male,25-34 years,17,"1,133",25,,,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Indiana,Male,30-49 years,114,"3,038",148,58,,212,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Indiana,Male,35-44 years,49,"1,394",66,27,,90,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Indiana,Male,45-54 years,132,"2,526",180,68,,251,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Indiana,Male,50-64 years,561,"7,513",687,306,15,956,
1/21/2021,1/1/2020,1/16/2021,Indiana,Male,55-64 years,481,"6,010",572,262,13,803,
1/21/2021,1/1/2020,1/16/2021,Indiana,Male,65-74 years,"1,010","8,748","1,085",553,16,"1,557",
1/21/2021,1/1/2020,1/16/2021,Indiana,Male,75-84 years,"1,378","9,628","1,363",719,24,"2,044",
