Data as of,Start Date,End Date,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
1/21/2021,1/1/2020,1/16/2021,United States,Unknown,30-49 years,0,7,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,United States,Unknown,35-44 years,0,3,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,United States,Unknown,45-54 years,1,4,1,1,0,1,
1/21/2021,1/1/2020,1/16/2021,United States,Unknown,50-64 years,1,11,1,1,0,1,
1/21/2021,1/1/2020,1/16/2021,United States,Unknown,55-64 years,0,8,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,United States,Unknown,65-74 years,1,8,1,1,0,1,
1/21/2021,1/1/2020,1/16/2021,United States,Unknown,75-84 years,3,12,3,2,0,4,
1/21/2021,1/1/2020,1/16/2021,United States,Unknown,85 years and over,2,28,1,1,0,2,
1/21/2021,1/1/2020,1/16/2021,Alabama,All Sexes,All Ages,"6,195","62,730","5,069","2,009",135,"9,381",
1/21/2021,1/1/2020,1/16/2021,Alabama,Male,All Ages,"3,276","32,572","2,739","1,085",81,"5,006",
1/21/2021,1/1/2020,1/16/2021,Alabama,Male,Under 1 year,,205,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Alabama,Male,0-17 years,,401,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Alabama,Male,1-4 years,0,47,0,0,0,0,
1/21/2021,1/1/2020,1/16/2021,Alabama,Male,5-14 years,0,71,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Alabama,Male,15-24 years,,527,,0,,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Alabama,Male,18-29 years,18,856,12,,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Alabama,Male,25-34 years,28,915,32,12,,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Alabama,Male,30-49 years,154,"2,787",152,52,,259,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Alabama,Male,35-44 years,67,"1,318",70,25,,115,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Alabama,Male,45-54 years,192,"2,369",146,55,,290,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Alabama,Male,50-64 years,604,"6,942",493,181,28,943,
1/21/2021,1/1/2020,1/16/2021,Alabama,Male,55-64 years,485,"5,534",406,146,23,767,
1/21/2021,1/1/2020,1/16/2021,Alabama,Male,65-74 years,911,"7,913",763,309,25,"1,389",
1/21/2021,1/1/2020,1/16/2021,Alabama,Male,75-84 years,965,"8,038",797,326,10,"1,445",
1/21/2021,1/1/2020,1/16/2021,Alabama,Male,85 years and over,623,"5,635",519,212,,936,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/21/2021,1/1/2020,1/16/2021,Alabama,Female,All Ages,"2,919","30,158","2,330",924,54,"4,375",
