State,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Density,Pop,LandArea,HHS Region,Doses allocated week of 12/14,Second Dose Shipment (21 days later) week of 12/14,Doses allocated week of 12/21,Second Dose Shipment (21 days later) week of 12/21,Doses allocated week of 12/28,Second Dose Shipment (21 days later) week of 12/28,Doses allocated for distribution week of 01/04,Second dose shipment for distribution (21 days later) week of 01/04,Doses allocated for distribution week of 01/10,Second dose shipment for distribution (21 days later) week of 01/10,Doses allocated for distribution week of 01/18,Second dose shipment for distribution (21 days later) week of 01/18,Doses allocated for distribution week of 01/25,Second dose shipment for distribution (21 days later) week of 01/25,"Total Pfizer Allocation ""First Dose"" Shipments","Total Allocation Pfizer ""Second Dose"" Shipments"
Missouri,"7,259","75,134","6,456","3,060",214,"10,865",89.7419,6169040.0,68742.0,Region 7,"51,675","51,675","37,050","37,050","46,800","46,800","37,050","37,050","37,050","37,050","38,025","38,025","38,025","38,025","285,675","285,675"
Montana,"1,102","11,764",993,525,37,"1,607",7.4547,1085000.0,145546.0,Region 8,"9,750","9,750","6,825","6,825","8,775","8,775","6,825","6,825","6,825","6,825","6,825","6,825","6,825","6,825","52,650","52,650"
Nebraska,"2,069","19,623","1,882",827,52,"3,176",25.4087,1952000.0,76824.0,Region 7,"16,575","16,575","11,700","11,700","14,625","14,625","11,700","11,700","11,700","11,700","11,700","11,700","11,700","11,700","89,700","89,700"
Nevada,"3,155","31,184","4,080","2,457",57,"4,835",29.0195,3185790.0,109781.0,Region 9,"25,350","25,350","17,550","17,550","22,425","22,425","17,550","17,550","17,550","17,550","18,525","18,525","18,525","18,525","137,475","137,475"
New Hampshire,841,"13,915",834,202,36,"1,507",153.2671,1372200.0,8953.0,Region 1,"12,675","12,675","8,775","8,775","10,725","10,725","8,775","8,775","8,775","8,775","8,775","8,775","8,775","8,775","67,275","67,275"
New Jersey,"17,845","96,766","13,224","8,718",155,"22,491",1206.7609,8874520.0,7354.0,Region 2,"76,050","76,050","53,625","53,625","68,250","68,250","53,625","53,625","53,625","53,625","55,575","55,575","55,575","55,575","416,325","416,325"
New Mexico,"2,287","21,669","2,103","1,081",60,"3,368",17.354,2105000.0,121298.0,Region 6,"17,550","17,550","12,675","12,675","16,575","16,575","12,675","12,675","12,675","12,675","13,650","13,650","13,650","13,650","99,450","99,450"
New York,"16,348","122,469","15,263","7,370",278,"24,497",409.5404,19300000.0,47126.0,Region 2,"96,525","96,525","68,250","68,250","87,750","87,750","68,250","68,250","68,250","68,250","71,175","71,175","71,175","71,175","531,375","531,375"
North Carolina,"3,662","77,980","5,735","1,561",280,"8,113",220.1037,10701000.0,48618.0,Region 4,"85,800","85,800","61,425","61,425","78,000","78,000","61,425","61,425","61,425","61,425","63,375","63,375","63,375","63,375","474,825","474,825"
North Dakota,"1,429","8,729","1,235",720,31,"1,974",11.1596,770026.0,69001.0,Region 8,"6,825","6,825","4,875","4,875","5,850","5,850","4,875","4,875","4,875","4,875","4,875","4,875","4,875","4,875","37,050","37,050"
Ohio,"11,689","138,884","11,102","5,169",317,"17,938",286.6939,11714600.0,40861.0,Region 5,"98,475","98,475","70,200","70,200","89,700","89,700","70,200","70,200","70,200","70,200","73,125","73,125","73,125","73,125","545,025","545,025"
Oklahoma,"3,953","43,920","4,538","1,530",142,"7,092",58.1739,3990440.0,68595.0,Region 6,"33,150","33,150","23,400","23,400","29,250","29,250","23,400","23,400","23,400","23,400","24,375","24,375","24,375","24,375","181,350","181,350"
Oregon,"1,377","39,682","2,006",463,93,"3,012",44.6873,4289440.0,95988.0,Region 10,"35,100","35,100","25,350","25,350","32,175","32,175","25,350","25,350","25,350","25,350","26,325","26,325","26,325","26,325","195,975","195,975"
Pennsylvania,"16,831","156,346","13,192","6,512",333,"23,833",286.1699,12804100.0,44743.0,Region 3,"97,500","97,500","69,225","69,225","88,725","88,725","69,225","69,225","69,225","69,225","71,175","71,175","71,175","71,175","536,250","536,250"
Rhode Island,"1,644","11,626","1,167",678,32,"2,165",1026.6054,1061510.0,1034.0,Region 1,"9,750","9,750","6,825","6,825","8,775","8,775","6,825","6,825","6,825","6,825","6,825","6,825","6,825","6,825","52,650","52,650"
